,Unnamed: 0,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP Growth_num,GDP per capita_num,Share of World GDP_num
52,52,Algeria,247626000000.0,247.626 billion,4.1%,46164219,"$5,364",0.23%,0.040999999999999995,5364.0,0.23
53,53,Greece,243498000000.0,243.498 billion,2.33%,10242908,"$23,772",0.23%,0.0233,23772.0,0.23
54,54,Qatar,213003000000.0,213.003 billion,1.19%,2979082,"$71,500",0.20%,0.011899999999999999,71500.0,0.2
55,55,Hungary,212389000000.0,212.389 billion,−0.91%,9686463,"$21,926",0.20%,-0.0091,21926.0,0.2
56,56,Ukraine,178757000000.0,178.757 billion,5.32%,37732836,"$4,737",0.17%,0.053200000000000004,4737.0,0.17
57,57,Kuwait,163705000000.0,163.705 billion,−3.64%,4838782,"$33,832",0.15%,-0.0364,33832.0,0.15
58,58,Ethiopia,163698000000.0,163.698 billion,6.5%,128691692,"$1,272",0.15%,0.065,1272.0,0.15
59,59,Morocco,144417000000.0,144.417 billion,3.4%,37712505,"$3,829",0.14%,0.034,3829.0,0.14
60,60,Slovakia,132908000000.0,132.908 billion,1.38%,5518055,"$24,086",0.13%,0.0138,24086.0,0.13
61,61,Dominican Republic,121444000000.0,121.444 billion,2.36%,11331265,"$10,718",0.11%,0.0236,10718.0,0.11
62,62,Ecuador,118845000000.0,118.845 billion,2.36%,17980083,"$6,610",0.11%,0.0236,6610.0,0.11
63,63,Sudan,109266000000.0,109.266 billion,−20.11%,50042791,"$2,183",0.10%,-0.2011,2183.0,0.1
64,64,Oman,108811000000.0,108.811 billion,1.31%,5049269,"$21,550",0.10%,0.0131,21550.0,0.1
65,65,Kenya,108039000000.0,108.039 billion,5.56%,55339003,"$1,952",0.10%,0.0556,1952.0,0.1
66,66,Guatemala,104450000000.0,104.45 billion,3.53%,18124838,"$5,763",0.098%,0.0353,5763.0,0.098
67,67,Bulgaria,102408000000.0,102.408 billion,1.89%,6795803,"$15,069",0.096%,0.0189,15069.0,0.096
68,68,Uzbekistan,101592000000.0,101.592 billion,6.29%,35652307,"$2,850",0.096%,0.0629,2850.0,0.096
69,69,Costa Rica,86497941439.0,86.498 billion,5.11%,5105525,"$16,942",0.081%,0.051100000000000007,16942.0,0.081
70,70,Luxembourg,85755006124.0,85.755 billion,−1.1%,665098,"$128,936",0.081%,-0.011000000000000001,128936.0,0.081
71,71,Angola,84824654482.0,84.825 billion,1%,36749906,"$2,308",0.080%,0.01,2308.0,0.08
72,72,Croatia,84393795502.0,84.394 billion,3.3%,3896023,"$21,662",0.079%,0.033,21662.0,0.079
73,73,Sri Lanka,84356863744.0,84.357 billion,−2.3%,22971617,"$3,672",0.079%,-0.023,3672.0,0.079
74,74,Panama,83318176900.0,83.318 billion,7.4%,4458759,"$18,686",0.078%,0.07400000000000001,18686.0,0.078
75,75,Serbia,81342660752.0,81.343 billion,3.85%,6773201,"$12,009",0.077%,0.0385,12009.0,0.077
76,76,Lithuania,79789877416.0,79.79 billion,0.34%,2854099,"$27,956",0.075%,0.0034000000000000002,27956.0,0.075
77,77,Tanzania,79062403821.0,79.062 billion,5.07%,66617606,"$1,187",0.074%,0.0507,1187.0,0.074
78,78,Côte d'Ivoire,78875489245.0,78.875 billion,6.2%,31165654,"$2,531",0.074%,0.062,2531.0,0.074
79,79,Uruguay,77240830877.0,77.241 billion,0.37%,3388081,"$22,798",0.073%,0.0037,22798.0,0.073
80,80,Ghana,76370396722.0,76.37 billion,2.94%,33787914,"$2,260",0.072%,0.0294,2260.0,0.072
81,81,Azerbaijan,72356176471.0,72.356 billion,1.12%,10318207,"$7,012",0.068%,0.011200000000000002,7012.0,0.068
82,82,Belarus,71857382746.0,71.857 billion,3.89%,9115680,"$7,883",0.068%,0.038900000000000004,7883.0,0.068
83,83,Slovenia,69148468417.0,69.148 billion,2.11%,2118396,"$32,642",0.065%,0.021099999999999997,32642.0,0.065
84,84,Myanmar,66757619000.0,66.758 billion,0.96%,54133798,"$1,233",0.063%,0.0096,1233.0,0.063
85,85,DR Congo,66383287003.0,66.383 billion,8.56%,105789731,$628,0.063%,0.08560000000000001,628.0,0.063
86,86,Turkmenistan,60628857143.0,60.629 billion,6.3%,7364438,"$8,233",0.057%,0.063,8233.0,0.057
87,87,Jordan,50967475352.0,50.967 billion,2.68%,11439213,"$4,456",0.048%,0.0268,4456.0,0.048
88,88,Cameroon,49279410983.0,49.279 billion,3.25%,28372687,"$1,737",0.046%,0.0325,1737.0,0.046
89,89,Uganda,48768955863.0,48.769 billion,5.34%,48656601,"$1,002",0.046%,0.053399999999999996,1002.0,0.046
90,90,Tunisia,48529595417.0,48.53 billion,0.04%,12200431,"$3,978",0.046%,0.0004,3978.0,0.046
91,91,Bahrain,46079867021.0,46.08 billion,2.98%,1569666,"$29,356",0.043%,0.0298,29356.0,0.043
92,92,Macao,45803067940.0,45.803 billion,75.06%,713912,"$64,158",0.043%,0.7506,64158.0,0.043
93,93,Bolivia,45135398009.0,45.135 billion,3.08%,12244159,"$3,686",0.043%,0.0308,3686.0,0.043
94,94,Libya,45096462972.0,45.096 billion,10.16%,7305659,"$6,173",0.042%,0.1016,6173.0,0.042
95,95,Paraguay,42956263544.0,42.956 billion,4.71%,6844146,"$6,276",0.040%,0.0471,6276.0,0.04
96,96,Cambodia,42335646896.0,42.336 billion,4.96%,17423880,"$2,430",0.040%,0.0496,2430.0,0.04
97,97,Latvia,42247850065.0,42.248 billion,1.71%,1882396,"$22,444",0.040%,0.0171,22444.0,0.04
98,98,Estonia,41291245222.0,41.291 billion,−3.02%,1367196,"$30,201",0.039%,-0.0302,30201.0,0.039
99,99,Nepal,40908073367.0,40.908 billion,1.95%,29694614,"$1,378",0.039%,0.0195,1378.0,0.039
100,100,Zimbabwe,35231367886.0,35.231 billion,5.34%,16340822,"$2,156",0.033%,0.053399999999999996,2156.0,0.033
101,101,Honduras,34400509852.0,34.401 billion,3.58%,10644851,"$3,232",0.032%,0.0358,3232.0,0.032
102,102,El Salvador,34015620000.0,34.016 billion,3.51%,6309624,"$5,391",0.032%,0.0351,5391.0,0.032
103,103,Cyprus,33886930712.0,33.887 billion,2.61%,1344976,"$25,195",0.032%,0.026099999999999998,25195.0,0.032
104,104,Iceland,31325116556.0,31.325 billion,5.04%,387558,"$80,827",0.030%,0.0504,80827.0,0.03
105,105,Senegal,30848333084.0,30.848 billion,4.58%,18077573,"$1,706",0.029%,0.0458,1706.0,0.029
106,106,Georgia,30777833585.0,30.778 billion,7.83%,3807492,"$8,083",0.029%,0.0783,8083.0,0.029
107,107,Papua New Guinea,30729242919.0,30.729 billion,3.04%,10389635,"$2,958",0.029%,0.0304,2958.0,0.029
108,108,Zambia,27577956471.0,27.578 billion,5.37%,20723965,"$1,331",0.026%,0.0537,1331.0,0.026
109,109,Bosnia and Herzegovina,27514782476.0,27.515 billion,2.21%,3185073,"$8,639",0.026%,0.022099999999999998,8639.0,0.026
110,110,Trinidad and Tobago,27372285698.0,27.372 billion,1.35%,1502932,"$18,213",0.026%,0.013500000000000002,18213.0,0.026
111,111,Armenia,24085749592.0,24.086 billion,8.3%,2943393,"$8,183",0.023%,0.083,8183.0,0.023
112,112,Albania,23547179830.0,23.547 billion,3.94%,2811655,"$8,375",0.022%,0.0394,8375.0,0.022
113,113,Malta,22328640242.0,22.329 billion,7.5%,532956,"$41,896",0.021%,0.075,41896.0,0.021
114,114,Guinea,22199409741.0,22.199 billion,6.74%,14405468,"$1,541",0.021%,0.0674,1541.0,0.021
115,115,Mozambique,20954220984.0,20.954 billion,5.44%,33635160,$623,0.020%,0.054400000000000004,623.0,0.02
116,116,Mali,20661794596.0,20.662 billion,4.66%,23769127,$869,0.019%,0.0466,869.0,0.019
117,117,Mongolia,20325121394.0,20.325 billion,7.42%,3431932,"$5,922",0.019%,0.0742,5922.0,0.019
118,118,Burkina Faso,20324617845.0,20.325 billion,2.96%,23025776,$883,0.019%,0.0296,883.0,0.019
119,119,Haiti,19850829758.0,19.851 billion,−1.86%,11637398,"$1,706",0.019%,-0.018600000000000002,1706.0,0.019
120,120,Benin,19676049076.0,19.676 billion,6.35%,14111034,"$1,394",0.019%,0.0635,1394.0,0.019
